t, E,580.5, 570.0, 549.5, 525.0, 501.0, 477.5, 454.0, 432.0, 411.5, 391.0
ms, mV*ns, mm, mm, mm, mm, mm, mm, mm, mm, mm, mm
155.1, 13093.00, 44.8, 61.6, 98.3, 275.5, 433.4, 559.9, 587.0, 638.0, 684.9, 635.3
158.2, 12526.46, 67.7, 82.2, 116.9, 357.4, 423.5, 573.8, 641.3, 609.0, 615.3, 635.3
161.2, 12437.60, 42.3, 79.2, 99.3, 327.1, 419.2, 641.6, 694.1, 730.1, 716.4, 710.5
164.2, 11929.56, 44.4, 86.1, 97.7, 356.8, 509.7, 721.1, 732.6, 752.6, 777.1, 711.6
167.2, 13445.67, 36.7, 93.9, 108.6, 378.9, 556.6, 730.5, 786.0, 794.4, 799.1, 718.4
170.3, 12975.32, 41.5, 90.5, 100.4, 364.7, 580.7, 763.1, 791.2, 783.6, 825.6, 783.9
173.3, 12149.52, 67.7, 93.3, 106.7, 412.2, 570.5, 730.8, 706.5, 700.2, 761.6, 726.1
176.3, 12353.76, 81.1, 124.5, 142.4, 374.0, 553.6, 733.0, 744.3, 725.4, 795.2, 665.4
179.4, 12394.28, 88.6, 115.2, 118.5, 334.8, 506.8, 657.8, 676.0, 673.3, 684.6, 653.1
182.4, 13563.75, 74.0, 108.1, 109.3, 355.3, 543.0, 751.6, 726.5, 688.5, 802.8, 650.2
185.4, 13294.42, 66.6, 111.1, 140.0, 316.3, 483.6, 718.4, 656.8, 642.3, 697.1, 717.5
188.5, 12221.92, 93.3, 133.9, 127.8, 355.9, 543.0, 699.5, 735.9, 668.6, 701.1, 628.0
191.5, 12231.75, 73.2, 109.3, 38.1, 302.2, 562.9, 741.8, 704.3, 640.9, 655.1, 638.4
194.5, 12768.75, 75.7, 98.3, 67.0, 332.9, 462.7, 788.0, 774.7, 768.3, 817.2, 675.6
197.5, 12452.38, 98.9, 93.3, 117.4, 344.4, 535.0, 739.5, 774.4, 726.5, 768.0, 701.3
200.6, 13155.75, 42.6, 91.1, 105.2, 309.1, 498.1, 710.1, 790.0, 765.5, 796.4, 740.2
203.6, 12715.12, 41.2, 86.1, 28.8, 342.7, 524.4, 788.3, 795.9, 852.2, 827.8, 704.3
206.6, 12139.92, 82.2, 107.0, 37.7, 345.3, 537.7, 744.3, 772.7, 780.8, 772.4, 663.5
209.7, 12864.90, 38.1, 95.6, 89.2, 331.5, 494.8, 709.4, 720.7, 882.1, 848.6, 782.3
212.7, 11942.92, 46.1, 104.0, 34.5, 359.8, 550.0, 784.3, 769.5, 790.7, 855.7, 819.9
215.7, 12441.82, 51.2, 73.7, 31.6, 333.7, 576.3, 891.0, 826.8, 729.0, 753.4, 718.2
218.8, 12668.28, 56.4, 97.9, 97.3, 328.8, 573.8, 851.8, 731.9, 740.0, 751.2, 745.8
221.8, 12919.81, 41.9, 80.5, 28.5, 273.7, 511.2, 783.6, 781.1, 822.4, 845.1, 783.6
224.8, 12686.98, 30.8, 38.5, 31.3, 271.7, 572.6, 711.9, 776.7, 803.6, 828.8, 796.4
227.9, 12441.86, 28.5, 67.7, 28.5, 324.1, 657.8, 749.4, 742.5, 779.9, 835.5, 801.9
230.9, 11982.80, 50.7, 82.2, 34.8, 351.0, 617.7, 789.5, 711.2, 726.1, 765.5, 740.2
233.9, 13155.40, --, 5.8, 5.1, 6.5, --, 13.8, --, --, --, 5.1
236.9, 11895.12, 5.4, 10.7, 8.5, 10.7, --, 5.8, --, 18.0, 18.0, --
240.0, 12205.12, 5.4, 10.5, 6.5, 8.5, 9.8, --, 7.0, 8.9, 11.3, 5.9
243.0, 12245.83, 9.8, 630.3, 7.2, 6.4, 3.5, --, --, --, 13.0, 8.9
246.0, 12690.15, 7.9, 9.1, 7.7, 7.9, --, --, 7.7, 5.9, --, 7.7
249.1, 12068.94, 6.5, 10.7, 5.9, 17.0, --, --, --, 10.2, 9.3, 8.5
252.1, 12872.63, 7.2, 7.7, 7.7, 7.0, 7.7, --, --, 8.5, 15.5, 8.9
