time, edge, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err
161.2, 546.6, 13.9, 16.7, 1.9, 818990435807310848.0, 47008677604499592.0, 3.4, 19.8, 2.4, 669319301048878592.0, 43800366539041048.0, -17.1, 86.1, 6.4, 2761454121099731456.0, 87568691980760048.0, -41.6, 195.3, 9.2, 5388049741079859200.0, 121397777136083552.0
164.2, 548.6, 11.9, 28.5, 2.9, 1081585584520004352.0, 52333284010339032.0, 1.4, 33.5, 3.1, 1268391319661079552.0, 50598686354082576.0, -19.1, 80.5, 5.0, 3647618079873722368.0, 99321379938021040.0, -43.6, 198.6, 9.7, 5508348662875474944.0, 123645590199452928.0
167.2, 549.3, 11.2, 20.1, 1.6, 1132138823589234432.0, 51348495974613320.0, 0.7, 50.7, 6.4, 986615250426116864.0, 50072063057147632.0, -19.8, 79.7, 5.6, 3155757254544267776.0, 93959117341219584.0, -44.3, 214.5, 11.5, 5389599901354034176.0, 132101009287773728.0
170.3, 547.6, 12.9, 17.0, 2.1, 737954743825497216.0, 45994774552803896.0, 2.4, 25.9, 2.5, 1010381360779899520.0, 48151236167300984.0, -18.1, 87.1, 4.7, 4019924135537728512.0, 101438496865334128.0, -42.6, 239.9, 10.8, 5864803272516382720.0, 130731127515991728.0
173.3, 547.2, 13.3, 17.0, 2.7, 512954714948375104.0, 41400120773475960.0, 2.8, 39.4, 4.2, 1055905166986020096.0, 49798999294139896.0, -17.7, 140.5, 8.3, 3622618948681270784.0, 97833754080233072.0, -42.2, 248.4, 11.9, 5653633125772880896.0, 124971768747134336.0
176.3, 544.9, 15.6, 19.3, 2.3, 799541541145161984.0, 47544285301440672.0, 5.1, 34.5, 3.0, 1328145371475479808.0, 52187476697197560.0, -15.4, 97.7, 5.4, 3880295578510113280.0, 96462098839747136.0, -39.9, 226.0, 10.5, 5863909701220339712.0, 121072426466879072.0
179.4, 545.1, 15.4, 41.2, 4.9, 955297457901868544.0, 47816678419696672.0, 4.9, 55.2, 4.5, 1574806167939820288.0, 55640274943187192.0, -15.6, 124.5, 6.5, 4178228647524044800.0, 104897639943032976.0, -40.1, 290.1, 11.9, 6179159440179365888.0, 129112074551460304.0
182.4, 542.0, 18.5, 33.9, 2.9, 1406365810774115072.0, 54176695835544296.0, 8.0, 44.1, 4.1, 1537125651175182592.0, 59211960341108728.0, -12.5, 88.0, 4.9, 4474505083742831104.0, 113814181359790256.0, -37.0, 244.1, 12.7, 6371899105418529792.0, 139532910274042224.0
185.4, 543.0, 17.5, 24.2, 2.9, 701206378419774336.0, 44899087166500696.0, 7.0, 44.4, 5.0, 1148468131398314112.0, 50702153566814184.0, -13.5, 106.3, 6.0, 3655721694924050432.0, 98192372587235168.0, -38.0, 234.8, 11.6, 5392211258688280576.0, 121408795238641280.0
188.5, 544.3, 16.2, 36.0, 4.1, 1036699830378757120.0, 49120978199486032.0, 5.7, 64.7, 6.3, 1279002837178454528.0, 55637344703498608.0, -14.8, 93.5, 6.0, 3579239143772775936.0, 101492942938221808.0, -39.3, 251.5, 13.4, 5514366180708115456.0, 130028513906503456.0
