time, edge, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err
191.5, 542.9, 17.6, 19.8, 2.3, 727672514976699264.0, 46616500614041624.0, 7.1, 33.9, 2.8, 1561897623232563968.0, 56127560388415944.0, -13.4, 107.4, 5.3, 4055892067877789696.0, 105930251428664544.0, -37.9, 233.9, 10.9, 5985447218803630080.0, 126075482822537472.0
194.5, 543.6, 16.9, 14.5, 1.6, 846871607060594176.0, 47503252706548440.0, 6.4, 29.3, 2.7, 1027047516888553088.0, 47397972286945560.0, -14.1, 108.1, 5.8, 3801828112609155072.0, 98724225816621552.0, -38.6, 194.6, 9.7, 5602932140339803136.0, 125712706870870032.0
197.5, 540.9, 19.6, 17.0, 1.9, 722780233779099392.0, 45437186490118728.0, 9.1, 25.9, 2.3, 1225622584066950400.0, 52173316286046048.0, -11.4, 72.0, 4.7, 3227878491607447040.0, 92289476631862304.0, -35.9, 190.5, 9.2, 5327611689576134656.0, 117216393452119136.0
200.6, 540.8, 19.7, 17.5, 2.2, 644131689602997248.0, 44200537656350528.0, 9.2, 26.6, 3.6, 576990632614711168.0, 40006001083715936.0, -11.3, 71.2, 4.3, 3401741666104617472.0, 89820100199051968.0, -35.8, 154.8, 7.7, 4741473776217219072.0, 106199618587001600.0
203.6, 540.5, 20.0, 8.5, 2.1, 472333534231998912.0, 43012585818283080.0, 9.5, 21.8, 2.0, 951370680875921792.0, 47024448849859080.0, -11.0, 79.7, 4.6, 3221430814501106688.0, 94009036104186560.0, -35.5, 236.4, 12.4, 4848514123998802944.0, 118644858732191632.0
206.6, 541.2, 19.3, 11.0, 4.4, 192881920607065280.0, 34259970947229992.0, 8.8, 30.8, 4.7, 585916520603761152.0, 41179301911550064.0, -11.7, 78.8, 6.7, 2326733883861535744.0, 83844385515862288.0, -36.2, 229.0, 12.9, 4572358498107982848.0, 114909504841209616.0
209.7, 538.6, 21.9, 12.7, 4.5, 186490708319172736.0, 36062621010282816.0, 11.4, 21.2, 2.3, 774038083925608960.0, 44616894646834648.0, -9.1, 104.0, 6.0, 3142265742417759232.0, 87797061488465904.0, -33.6, 196.3, 10.3, 4452446846462083072.0, 106920453980541456.0
212.7, 537.3, 23.2, 13.4, 1.9, 565931093411599296.0, 43304254732588088.0, 12.7, 44.8, 5.9, 918145228117299200.0, 45386256888119808.0, -7.8, 107.0, 7.0, 2950055083620335616.0, 87775324999571824.0, -32.3, 183.6, 10.9, 3691963248795119616.0, 94321842717817872.0
215.7, 536.3, 24.2, 7.2, 4.3, 250418343355394976.0, 35190416740524204.0, 13.7, 28.8, 4.5, 467592951070363520.0, 36970616823807856.0, -6.8, 110.7, 6.2, 2800897720702677504.0, 82826472644612224.0, -31.3, 212.3, 11.5, 3854531372201893376.0, 96287324583687696.0
218.8, 536.3, 24.2, 7.2, 3.0, 297721921817575232.0, 36208885512412176.0, 13.7, 21.2, 4.7, 340306374849584320.0, 38770304373303072.0, -6.8, 88.6, 7.0, 2351327451462838272.0, 78987599654625648.0, -31.3, 206.9, 12.5, 3799420252774304768.0, 100909616201354848.0
221.8, 535.3, 25.2, 10.7, 3.1, 313440469906232064.0, 39456555469873032.0, 14.7, 22.2, 3.4, 475460867865396032.0, 37751657490298656.0, -5.8, 96.2, 7.7, 2868597413118938112.0, 91957973557320528.0, -30.3, 225.7, 13.8, 3808486263624090624.0, 97692039807934720.0
224.8, 536.9, 23.6, 17.0, 4.9, 213587491207201216.0, 33825087280379944.0, 13.1, 19.8, 3.7, 361781630080257600.0, 36540468443419376.0, -7.4, 101.0, 6.7, 2623532473754776576.0, 81779410957809520.0, -31.9, 192.1, 11.8, 3607694478721868800.0, 96710434568666352.0
227.9, 539.8, 20.7, 7.7, 1.7, 543414873146352832.0, 41557734723757256.0, 10.2, 27.2, 3.0, 855306091326888448.0, 45035665033893336.0, -10.3, 93.9, 6.6, 2694593470519002624.0, 83792122618919888.0, -34.8, 236.0, 12.6, 3641059441511864320.0, 96264431431538000.0
