time, edge, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err
161.2, 578.0, -17.5, 65.2, 6.4, 1445382399247339264.0, 56838106568104600.0, -28.0, 79.2, 6.7, 1944763312967192064.0, 65119659540145664.0, -48.5, 174.3, 9.7, 4976985368281527296.0, 127306851556312592.0, -73.0, 327.1, 14.1, 8447612983577969664.0, 163073175074061088.0
164.2, 581.9, -21.4, 64.3, 6.7, 1441665563536170752.0, 57529202704497304.0, -31.9, 86.1, 6.7, 2003929663349807872.0, 66753486177817600.0, -52.4, 179.4, 9.9, 5602933245694159872.0, 143944649878508736.0, -76.9, 356.8, 16.0, 8757984020463198208.0, 176370845421070688.0
167.2, 580.5, -20.0, 53.3, 6.0, 1418793582388090368.0, 58514478663100936.0, -30.5, 93.9, 6.5, 2348298612066138624.0, 68785926742206208.0, -51.0, 178.0, 8.2, 6354303813049875456.0, 135372164624286272.0, -75.5, 378.9, 12.5, 9283788781097259008.0, 171460007785383520.0
170.3, 577.7, -17.2, 55.2, 4.5, 1802267340313961216.0, 61093243580033720.0, -27.7, 90.5, 5.2, 2311725413287052800.0, 67279102364500664.0, -48.2, 168.4, 8.3, 6019192703863511040.0, 135874360346825824.0, -72.7, 364.7, 13.1, 9373310790871826432.0, 168784156563436384.0
173.3, 575.8, -15.3, 93.5, 7.6, 1617647868182763776.0, 60275125027145448.0, -25.8, 93.3, 5.6, 2292299390677120768.0, 66521639436610576.0, -46.3, 192.1, 9.4, 6378143323889986560.0, 144804464749265856.0, -70.8, 412.2, 15.5, 8732109608155423744.0, 176730393382833472.0
176.3, 575.9, -15.4, 101.0, 6.8, 2034798803306443776.0, 63364203659457936.0, -25.9, 124.5, 7.5, 2362663826004064256.0, 65312640779141200.0, -46.4, 239.4, 11.0, 5995994177228018688.0, 138951266568474112.0, -70.9, 374.0, 13.3, 9361764394826659840.0, 173254443508333952.0
179.4, 573.8, -13.3, 104.4, 6.7, 2382731349414666240.0, 69344061440590992.0, -23.8, 115.2, 6.7, 2614923516953345024.0, 70226662441898848.0, -44.3, 206.9, 9.9, 6357590425916403712.0, 153502258165383776.0, -68.8, 334.8, 13.0, 8964102935645328384.0, 173568616445379776.0
182.4, 568.9, -8.4, 88.0, 5.4, 2148446063638692352.0, 64794714200660624.0, -18.9, 108.1, 6.9, 2370489986573709312.0, 66966002688303560.0, -39.4, 194.1, 9.0, 5916936436186687488.0, 124147684892577104.0, -63.9, 355.3, 12.7, 9282499098886809600.0, 159753299699530208.0
185.4, 568.2, -7.7, 84.6, 6.3, 1808307983756612608.0, 59815852104288144.0, -18.2, 111.1, 6.1, 2306860160317432320.0, 63710450579432288.0, -38.7, 218.1, 9.9, 5782014114499938304.0, 123286229570628736.0, -63.2, 316.3, 10.5, 8206802996066682880.0, 148154080707448960.0
188.5, 568.5, -8.0, 110.0, 6.6, 1881950026158271488.0, 59151214688565832.0, -18.5, 133.9, 9.0, 1961549775571937280.0, 63922400926069976.0, -39.0, 224.2, 11.7, 5353729751739538432.0, 132709498791311136.0, -63.5, 355.9, 14.2, 8052313639352274944.0, 157085833264917856.0
191.5, 567.8, -7.3, 98.7, 7.8, 1521284037233916672.0, 58385239755566136.0, -17.8, 109.3, 7.3, 1994021290489972224.0, 63145996219878632.0, -38.3, 174.3, 9.0, 5235417612389914624.0, 124819137116648768.0, -62.8, 302.2, 12.7, 7262160760461074432.0, 143797204209255792.0
