time, edge, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err, R-edge, T_e, err, n_e, err
194.5, 567.5, -7.0, 96.2, 7.0, 1711002506116914688.0, 60622463232460960.0, -17.5, 98.3, 7.2, 1822722074397140736.0, 60493368022585120.0, -38.0, 145.4, 7.4, 4778931560703484928.0, 117462565050860400.0, -62.5, 332.9, 12.9, 6888488613491138560.0, 134052277914151584.0
197.5, 566.8, -6.3, 123.6, 10.6, 1517863804825310976.0, 58911434776489440.0, -16.8, 93.3, 6.9, 1716190526249207040.0, 59872075408881944.0, -37.3, 236.9, 13.3, 4559272408627326976.0, 115805483817129520.0, -61.8, 344.4, 14.9, 6662920729462088704.0, 141340464792371328.0
200.6, 566.0, -5.5, 63.2, 6.1, 1270629954306769920.0, 54591074481841256.0, -16.0, 91.1, 6.4, 1562820061323065088.0, 54360636791327816.0, -36.5, 207.7, 12.6, 4092846695427603968.0, 109773624498119248.0, -61.0, 309.1, 13.3, 6093708087960167424.0, 131582410151450768.0
203.6, 564.8, -4.3, 80.5, 8.9, 1167961509241215488.0, 51803183019092240.0, -14.8, 86.1, 6.8, 1551607606270743040.0, 54757210359108128.0, -35.3, 193.0, 11.7, 4010501830818765312.0, 108901096401673312.0, -59.8, 342.7, 15.0, 6215426005679898624.0, 130394257377064784.0
206.6, 564.5, -4.0, 128.1, 15.0, 1137821448133905792.0, 53858993167722944.0, -14.5, 107.0, 8.2, 1565389715791626752.0, 55922353587691040.0, -35.0, 182.8, 12.5, 3795087148696335872.0, 106334034226005008.0, -59.5, 345.3, 15.8, 5499584133690799104.0, 125504376893742144.0
209.7, 565.2, -4.7, 70.7, 8.1, 1162029135161045504.0, 51626631377155336.0, -15.2, 95.6, 7.5, 1576127192717577984.0, 56253300226113376.0, -35.7, 200.2, 12.1, 4021429683573571072.0, 104616438754189648.0, -60.2, 331.5, 15.2, 5461646341542653952.0, 119289772269297520.0
212.7, 563.0, -2.5, 82.8, 10.0, 921380922413744512.0, 48533334543493880.0, -13.0, 104.0, 8.6, 1377746311795682048.0, 54511166168197720.0, -33.5, 230.6, 14.7, 3661693244943827456.0, 102369692047282784.0, -58.0, 359.8, 17.6, 5462449581446862848.0, 126662275462869136.0
215.7, 562.0, -1.5, 108.6, 15.0, 843099229334508160.0, 49031158662388944.0, -12.0, 73.7, 7.5, 1213783129096729856.0, 52975525614319512.0, -32.5, 190.5, 14.1, 3344152868964214272.0, 104245672158556400.0, -57.0, 333.7, 17.2, 4829173013920433152.0, 113143484198719248.0
218.8, 562.7, -2.2, 92.6, 9.0, 1142094253765021952.0, 51141180241425832.0, -12.7, 97.9, 8.8, 1321117226350686976.0, 51272770484761392.0, -33.2, 195.3, 10.9, 3610870833779027968.0, 92559757296950208.0, -57.7, 328.8, 15.5, 5027442120376830976.0, 111140933896642400.0
221.8, 561.2, -0.7, 67.0, 7.4, 1144081988839180928.0, 48736095454985744.0, -11.2, 80.5, 6.7, 1371139950205771264.0, 50740592306198064.0, -31.7, 181.5, 12.2, 3173008344676436992.0, 87790254271782352.0, -56.2, 273.7, 14.1, 4915484940607191040.0, 110182894005893616.0
224.8, 563.5, -3.0, 61.8, 8.7, 813665836817962624.0, 43509296612164584.0, -13.5, 38.5, 3.4, 1194252950912898816.0, 46231550063029200.0, -34.0, 193.8, 11.9, 3551517325727558144.0, 97572982842813568.0, -58.5, 271.7, 12.4, 4724260064365277184.0, 106057149316635552.0
227.9, 564.1, -3.6, 44.8, 5.0, 1081577055945277952.0, 46455146924181896.0, -14.1, 67.7, 5.4, 1551212803612235520.0, 52565092128610272.0, -34.6, 157.9, 8.3, 3763764182599923200.0, 93483694635434000.0, -59.1, 324.1, 16.7, 4490836066255575040.0, 108611453865749824.0
