,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,Ti0,Zeff,n42,fname,Paux
0,42864.0,0.16419999999999998,293.421,0.82,21.9,35.9,0.3,1.9,4161.0,871.0,2.11953066289934,5.3,OH_KTM/shot42864_t164.txt,-832.587
1,42864.0,0.1733,293.421,0.82,21.8,36.1,0.29,1.8,4802.0,769.0,2.1037423403064164,5.4,OH_KTM/shot42864_t173.txt,-832.587
2,42864.0,0.1764,293.421,0.82,21.6,35.9,0.3,1.8,4612.0,715.0,2.1523950332301642,5.1,OH_KTM/shot42864_t176.txt,-832.587
3,42864.0,0.1794,293.421,0.82,21.6,36.0,0.29,1.8,4143.0,711.0,2.2052282974711677,4.8,OH_KTM/shot42864_t179.txt,-832.587
4,42864.0,0.1855,293.421,0.82,21.4,36.3,0.29,1.8,4020.0,808.0,2.223877743626822,4.7,OH_KTM/shot42864_t186.txt,-832.587
