R,207.5,,212.5,
362.24,3086.45,371.93,3917.92,656.35
392.87,3561.2,374.51,4655.96,475.8
423.79,--,--,3798.43,438.25
453.28,4033.86,470.14,3350.05,322.92
481.85,3843.71,331.29,2578.6,260.98
507.67,2320.17,221.97,2332.84,215.62
532.11,2274.97,369.99,1275.19,218.88
587,421.86,179.44,384.1,166.57
