964.2, 45.24
965.2, 45.62
966.2, 46
967.2, 46.39
968.2, 46.77
969.2, 47.17
970.2, 47.57
971.2, 47.99
972.2, 48.37
973.2, 48.77
974.1, 49.17
975.1, 49.58
976.1, 49.97
977.1, 50.36
978.1, 50.76
979.1, 51.13
980.1, 51.52
981.1, 51.9
982.1, 52.25
983.1, 52.65
984.1, 53
985.1, 53.37
986.1, 53.75
987.1, 54.11
988.1, 54.49
989.1, 54.86
990.1, 55.26
991.1, 55.63
992.1, 56.01
993.1, 56.4
994.1, 56.75
995.1, 57.13
996.1, 57.5
997.1, 57.85
998.1, 58.21
999.1, 58.56
1000, 58.9
1001, 59.27
1002, 59.61
1003, 59.94
1004, 60.28
1005, 60.61
1006, 60.93
1007, 61.25
1008, 61.59
1009, 61.91
1010, 62.27
1011, 62.59
1012, 62.91
1013, 63.22
1014, 63.55
1015, 63.89
1016, 64.2
1017, 64.5
1018, 64.81
1019, 65.1
1020, 65.38
1021, 65.67
1022, 65.97
1023, 66.25
1024, 66.52
1025, 66.79
1026, 67.04
1027, 67.35
1028, 67.63
1029, 67.89
1030, 68.15
1031, 68.44
1032, 68.7
1033, 68.96
1034, 69.22
1035, 69.49
1036, 69.75
1037, 69.99
1038, 70.24
1039, 70.49
1040, 70.72
1041, 70.95
1042, 71.19
1043, 71.41
1044, 71.64
1045, 71.86
1046, 72.08
1047, 72.31
1048, 72.52
1049, 72.73
1050, 72.95
1051, 73.17
1052, 73.38
1053, 73.58
1054, 73.79
1055, 73.99
1056, 74.19
1057, 74.38
1058, 74.58
1059, 74.76
1060, 74.95
1061, 75.14
1062, 75.32
1063, 75.49
1064, 75.67
1065, 75.84
1066, 76.01
1067, 76.2
1068, 76.35
1069, 76.51
1070, 76.68
1071, 76.84
1072, 77
1073, 77.17
1074, 77.34
1075, 77.48
1076, 77.64
1077, 77.79
1078, 77.93
1079, 78.07
1080, 78.22
1081, 78.35
1082, 78.49
1083, 78.62
1084, 78.76
1085, 78.88
1086, 79.02
1087, 79.15
1088, 79.27
1089, 79.4
1090, 79.53
1091, 79.66
1092, 79.78
1093, 79.9
1094, 80.02
1095, 80.14
1096, 80.25
1097, 80.36
1098, 80.48
1099, 80.59
1100, 80.7
